image_path,label
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10021.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10081.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10096.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10166.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10224.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10225.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10231.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10293.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10451.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10485.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10493.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10540.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10563.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10581.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10621.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10661.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10667.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10687.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10710.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10793.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10816.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10891.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_10908.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11008.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11050.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11132.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11191.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11211.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11259.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11283.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11301.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11305.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11307.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11325.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11352.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11549.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11644.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11673.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11740.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11757.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11820.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11896.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11904.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11937.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_11981.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12038.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12058.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12068.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12089.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12360.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12421.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12500.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12525.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12682.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12701.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12713.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12737.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_1283.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_12975.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13006.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13016.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13069.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13124.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13129.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13130.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13262.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13292.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_1336.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13404.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13413.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13442.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13464.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13602.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13628.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13749.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_138.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_13887.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_1391.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_14.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_14009.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_14060.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_14210.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_14238.jpg,Cloudy
C:\Users\Asys\OneDrive\Desktop\edunet\Week 3\Satellite Image data\cloudy\train_14240.jpg,Cloudy
